product_id,product_type,face,,Tipo de producto,Modelo,Color,Forma,Codificación
31674,P-GG-IN-RC,GOOGLE,,,,,,
31675,P-GG-IN-RC,GOOGLE,,,,,,
31676,P-GG-IN-RC,GOOGLE,,,,,,
31677,P-GG-IN-RC,GOOGLE,,,,,,
31678,P-GG-IN-RC,GOOGLE,,,,,,
31679,P-GG-IN-RC,GOOGLE,,,,,,
31680,P-GG-IN-RC,GOOGLE,,,,,,
31681,P-GG-IN-RC,GOOGLE,,,,,,
31682,P-GG-IN-RC,GOOGLE,,,,,,
43183,P-GG-IN-RC,GOOGLE,,,,,,
43184,P-GG-IN-RC,GOOGLE,,,,,,
43185,P-GG-IN-RC,GOOGLE,,,,,,
43186,P-GG-IN-RC,GOOGLE,,,,,,
